model,mape,wmape,smape
Naive,2.3362134821979352,0.9915461030490861,1.3059555775531464
SeasonalNaive,2.586264822899277,1.3442309871663638,1.2537266049572404
SeasWA,1.6075593615487274,1.0740139596733327,1.5313883100416255
WindowAverage,6.949873802784932,1.5721049933211977,1.5589304122834189
RWD,2.374056503061172,0.992205157599559,1.3020549629990152
HistoricAverage,0.9999294429784606,1.0000673419901664,1.9961731128836802
SES,0.9999593045165713,1.000038841135653,1.9977796493134783
SESOpt,1.0018128698325512,0.9982697361683729,1.9194062176265707
SeasonalES,6.83694925683502,1.4943032389941366,1.6549864455592023
SeasESOpt,1.5101515018611482,1.0321162047025396,1.8800125735089726
ADIDA,2.228086065403553,0.9894507042930245,1.3221395175778923
CrostonClassic,7.1210555018462,1.5934863184334334,1.560547071279514
CrostonOptimized,7.1210555018462,1.5934863184334334,1.560547071279514
CrostonSBA,6.788915534500246,1.5520006183642372,1.5573087287581626
IMAPA,2.228086065403553,0.9894507042930245,1.3221395175778923
TSB,9.374852780192484,1.884814751618196,1.5820598548296483
MSTL,5.287455362539767,1.4196412638744365,1.3180721745262414
DynamicOptimizedTheta,2.228086065403553,0.9894507042930245,1.3221395175778923
GARCH,56.72889402495553,11.660882867742572,1.7836760956761721
ARCH,46.469332803051046,9.5552834901212,1.753358011705483
AutoARIMA,1.0044729309509126,1.0078375310577377,1.9901622074055394
AutoETS,0.9999462779043343,1.000051274171714,1.9970764906050362
AutoTheta,2.228086065403553,0.9894507042930245,1.3221395175778923
SarimaX,1.0000169516517758,1.000016991083196,1.9999417567763846
LSTM,1.0000136043789962,1.0000136000039845,2.0
