Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,ds,y
2004-01-02,22.445,22.233,22.45,22.208,136420000,0.94,2004-01-02,22.445
2004-01-05,23.532,22.445,23.532,22.445,496710000,4.84,2004-01-05,23.532
2004-01-06,23.576,23.532,23.976,23.18,472380000,0.19,2004-01-06,23.576
2004-01-07,23.32,23.576,23.899,23.32,464080000,-1.09,2004-01-07,23.32
2004-01-08,23.717,23.334,23.718,23.122,436740000,1.7,2004-01-08,23.717
2004-01-09,23.917,23.722,24.088,23.71,503350000,0.84,2004-01-09,23.917
2004-01-12,24.237,23.896,24.323,23.892,379910000,1.34,2004-01-12,24.237
2004-01-13,23.94,24.237,24.518,23.867,497930000,-1.23,2004-01-13,23.94
2004-01-14,23.399,23.947,24.01,22.878,464750000,-2.26,2004-01-14,23.399
2004-01-15,22.962,23.4,23.4,22.962,449980000,-1.87,2004-01-15,22.962
2004-01-16,23.155,22.964,23.243,22.687,291150000,0.84,2004-01-16,23.155
2004-01-19,23.385,23.162,23.493,23.09,256149999,1.0,2004-01-19,23.385
2004-01-20,23.679,23.382,23.724,23.382,271200000,1.26,2004-01-20,23.679
2004-01-21,23.302,23.68,23.68,23.213,319640000,-1.59,2004-01-21,23.302
2004-01-22,22.969,23.299,23.299,22.682,347080000,-1.43,2004-01-22,22.969
2004-01-23,23.471,22.969,23.515,22.74,287870000,2.19,2004-01-23,23.471
2004-01-26,24.35,23.471,24.35,23.471,383190000,3.74,2004-01-26,24.35
2004-01-27,24.226,24.355,24.473,23.908,526960000,-0.51,2004-01-27,24.226
2004-01-28,23.852,24.226,24.46,23.787,343420000,-1.55,2004-01-28,23.852
2004-01-29,22.386,23.849,23.859,22.3,516610000,-6.14,2004-01-29,22.386
2004-01-30,21.851,22.384,22.615,21.649,430570000,-2.39,2004-01-30,21.851
2004-02-02,21.787,21.842,21.867,21.336,327360000,-0.3,2004-02-02,21.787
2004-02-03,22.281,21.794,22.287,21.794,302440000,2.27,2004-02-03,22.281
2004-02-04,21.685,22.289,22.718,21.555,464940000,-2.68,2004-02-04,21.685
2004-02-05,21.092,21.685,21.909,21.077,414970000,-2.73,2004-02-05,21.092
2004-02-06,21.969,21.092,21.969,20.598,381230000,4.16,2004-02-06,21.969
2004-02-09,21.962,21.97,22.493,21.853,373110000,-0.03,2004-02-09,21.962
2004-02-10,22.171,21.936,22.216,21.694,350830000,0.96,2004-02-10,22.171
2004-02-11,23.197,22.173,23.241,22.057,417590000,4.63,2004-02-11,23.197
2004-02-12,23.063,23.197,23.374,22.929,309590000,-0.58,2004-02-12,23.063
2004-02-13,22.53,23.067,23.23,22.188,367400000,-2.31,2004-02-13,22.53
2004-02-16,22.189,22.505,22.507,21.901,163740000,-1.51,2004-02-16,22.189
2004-02-17,22.426,22.195,22.52,22.017,414030000,1.07,2004-02-17,22.426
2004-02-18,22.0,22.43,22.668,21.899,525010000,-1.9,2004-02-18,22.0
2004-02-19,20.951,21.998,21.998,20.877,433850000,-4.77,2004-02-19,20.951
2004-02-20,21.337,20.949,21.342,20.092,433510000,1.84,2004-02-20,21.337
2004-02-25,21.609,21.341,21.732,21.341,127140000,1.28,2004-02-25,21.609
2004-02-26,21.45,21.608,21.608,21.18,206810000,-0.74,2004-02-26,21.45
2004-02-27,21.755,21.455,21.755,21.448,275450000,1.42,2004-02-27,21.755
