Data,ds,y
2004-01-02,2004-01-02,22.445
2004-01-03,2004-01-03,22.445
2004-01-04,2004-01-04,22.445
2004-01-05,2004-01-05,23.532
2004-01-06,2004-01-06,23.576
2004-01-07,2004-01-07,23.32
2004-01-08,2004-01-08,23.717
2004-01-09,2004-01-09,23.917
2004-01-10,2004-01-10,23.6124
2004-01-11,2004-01-11,23.6325
2004-01-12,2004-01-12,24.237
2004-01-13,2004-01-13,23.94
2004-01-14,2004-01-14,23.399
2004-01-15,2004-01-15,22.962
2004-01-16,2004-01-16,23.155
2004-01-17,2004-01-17,23.5386
2004-01-18,2004-01-18,23.364
2004-01-19,2004-01-19,23.385
2004-01-20,2004-01-20,23.679
2004-01-21,2004-01-21,23.302
2004-01-22,2004-01-22,22.969
2004-01-23,2004-01-23,23.471
2004-01-24,2004-01-24,23.3612
2004-01-25,2004-01-25,23.355249999999998
2004-01-26,2004-01-26,24.35
2004-01-27,2004-01-27,24.226
2004-01-28,2004-01-28,23.852
2004-01-29,2004-01-29,22.386
2004-01-30,2004-01-30,21.851
2004-01-31,2004-01-31,23.333000000000002
2004-02-01,2004-02-01,23.07875
2004-02-02,2004-02-02,21.787
2004-02-03,2004-02-03,22.281
2004-02-04,2004-02-04,21.685
2004-02-05,2004-02-05,21.092
2004-02-06,2004-02-06,21.969
2004-02-07,2004-02-07,21.7628
2004-02-08,2004-02-08,21.75675
2004-02-09,2004-02-09,21.962
2004-02-10,2004-02-10,22.171
2004-02-11,2004-02-11,23.197
2004-02-12,2004-02-12,23.063
2004-02-13,2004-02-13,22.53
2004-02-14,2004-02-14,22.584600000000002
2004-02-15,2004-02-15,22.74025
2004-02-16,2004-02-16,22.189
2004-02-17,2004-02-17,22.426
2004-02-18,2004-02-18,22.0
2004-02-19,2004-02-19,20.951
2004-02-20,2004-02-20,21.337
2004-02-21,2004-02-21,21.7806
2004-02-22,2004-02-22,21.6785
2004-02-23,2004-02-23,21.429333333333332
2004-02-24,2004-02-24,21.144
2004-02-25,2004-02-25,21.609
2004-02-26,2004-02-26,21.45
2004-02-27,2004-02-27,21.755
2004-02-28,2004-02-28,21.604666666666663
2004-02-29,2004-02-29,21.604666666666663
2004-03-01,2004-03-01,22.499
2004-03-02,2004-03-02,22.442
2004-03-03,2004-03-03,22.55
2004-03-04,2004-03-04,22.393
2004-03-05,2004-03-05,22.873
2004-03-06,2004-03-06,22.5514
2004-03-07,2004-03-07,22.5645
2004-03-08,2004-03-08,22.993
2004-03-09,2004-03-09,22.674
2004-03-10,2004-03-10,21.67
2004-03-11,2004-03-11,20.763
2004-03-12,2004-03-12,21.776
2004-03-13,2004-03-13,21.9752
2004-03-14,2004-03-14,21.720750000000002
2004-03-15,2004-03-15,21.234
2004-03-16,2004-03-16,21.613
2004-03-17,2004-03-17,21.901
2004-03-18,2004-03-18,22.37
2004-03-19,2004-03-19,22.261
2004-03-20,2004-03-20,21.8758
2004-03-21,2004-03-21,22.036250000000003
2004-03-22,2004-03-22,21.663
2004-03-23,2004-03-23,21.205
2004-03-24,2004-03-24,20.985
2004-03-25,2004-03-25,21.0
2004-03-26,2004-03-26,21.541
2004-03-27,2004-03-27,21.278799999999997
2004-03-28,2004-03-28,21.18275
2004-03-29,2004-03-29,21.531
2004-03-30,2004-03-30,22.043
2004-03-31,2004-03-31,22.142
2004-04-01,2004-04-01,22.647
2004-04-02,2004-04-02,22.949
2004-04-03,2004-04-03,22.2624
2004-04-04,2004-04-04,22.445249999999998
2004-04-05,2004-04-05,23.146
2004-04-06,2004-04-06,23.072
2004-04-07,2004-04-07,22.443
2004-04-08,2004-04-08,22.725
2004-04-09,2004-04-09,22.846500000000002
2004-04-10,2004-04-10,22.846500000000002
2004-04-11,2004-04-11,22.74666666666667
2004-04-12,2004-04-12,22.78
2004-04-13,2004-04-13,22.62
2004-04-14,2004-04-14,22.312
2004-04-15,2004-04-15,21.739
2004-04-16,2004-04-16,21.769
2004-04-17,2004-04-17,22.244
2004-04-18,2004-04-18,22.11
